provincia_id,departamento_id,a�o,mes,modelo,actividad,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),'eficiencia_stock_(\%)',producci�n_(kg/ha),'destete_(\%)',carga_(kg/ha)
6,154,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
6,392,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
6,399,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
6,616,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
6,679,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
6,721,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
6,826,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
6,847,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
14,35,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
14,98,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
42,7,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
42,21,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
42,28,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
42,56,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
42,35,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
42,105,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
42,119,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
42,126,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
42,133,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
42,147,2018,2,'pampeana subhumeda',invernada,2293,-230,5956,3663,2522,53,260,?,492
74,35,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
74,42,2018,2,'pampeana subhumeda','ciclo completo',1210,709,1936,726,500,35,65,75,186
66,14,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,21,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,28,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,35,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,49,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,56,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,63,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,77,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,84,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,91,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,98,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
66,140,2018,2,salta,cria,319,11,493,173,308,24,17,55,71
