,pais_id,pais,provincia_id,provincia,departamento_id,departamento,prov_depto,año,mes,modelo,actividad,referencia,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),eficiencia_stock_(%),producción_(kg/ha),destete_(%),carga_(kg/ha)
79,32,Argentina,6,Buenos Aires,168,Castelli,6168,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
80,32,Argentina,6,Buenos Aires,217,Chascomus,6217,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
81,32,Argentina,6,Buenos Aires,238,Dolores,6238,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
82,32,Argentina,6,Buenos Aires,287,General Alvear,6287,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
83,32,Argentina,6,Buenos Aires,301,General Belgrano,6301,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
84,32,Argentina,6,Buenos Aires,308,General Guido,6308,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
85,32,Argentina,6,Buenos Aires,322,General Lamadrid,6322,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
86,32,Argentina,6,Buenos Aires,329,General Las Heras,6329,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
87,32,Argentina,6,Buenos Aires,336,General Lavalle,6336,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
88,32,Argentina,6,Buenos Aires,315,General Juan Madariaga,6315,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
89,32,Argentina,6,Buenos Aires,343,General Paz,6343,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
90,32,Argentina,6,Buenos Aires,441,La Plata,6441,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
91,32,Argentina,6,Buenos Aires,448,Laprida,6448,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
92,32,Argentina,6,Buenos Aires,455,Las Flores,6455,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
93,32,Argentina,6,Buenos Aires,483,Lobos,6483,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
